N1	N2	W
1	57	1
1	57	1
2	57	1
8	57	1
14	57	1
15	57	1
28	57	1
29	57	1
31	57	1
32	57	1
33	57	1
34	57	1
35	57	1
38	57	1
45	57	1
54	57	1
54	57	1
54	57	1
55	57	1
55	57	1
56	57	1
56	57	1
34	57	1
35	57	1
56	57	1
96	57	1
97	57	1
98	57	1
99	57	1
100	57	1
101	57	1
102	57	1
103	57	1
109	57	1
157	57	1
169	57	1
170	57	1
173	57	1
218	57	1
247	57	1
248	57	1
253	57	1
254	57	1
255	57	1
257	57	1
258	57	1
259	57	1
260	57	1
261	57	1
262	57	1
278	57	1
62	57	1
63	57	1
63	57	1
64	57	1
65	57	1
66	57	1
67	57	1
68	57	1
72	57	1
72	57	1
76	57	1
91	57	1
112	57	1
112	57	1
113	57	1
115	57	1
152	57	1
152	57	1
153	57	1
157	57	1
158	57	1
159	57	1
160	57	1
163	57	1
169	57	1
174	57	1
175	57	1
175	57	1
179	57	1
180	57	1
180	57	1
199	57	1
200	57	1
211	57	1
233	57	1
235	57	1
238	57	1
243	57	1
248	57	1
271	57	1
1	58	1
7	58	1
8	58	1
8	58	1
15	58	1
28	58	1
29	58	1
32	58	1
33	58	1
38	58	1
39	58	1
44	58	1
45	58	1
45	58	1
54	58	1
54	58	1
54	58	1
55	58	1
55	58	1
55	58	1
56	58	1
2	58	1
72	58	1
112	58	1
113	58	1
59	58	1
65	58	1
67	58	1
68	58	1
87	58	1
88	58	1
89	58	1
90	58	1
90	58	1
91	58	1
94	58	1
112	58	1
113	58	1
113	58	1
128	58	1
128	58	1
129	58	1
143	58	1
144	58	1
148	58	1
151	58	1
152	58	1
152	58	1
153	58	1
157	58	1
200	58	1
207	58	1
207	58	1
208	58	1
209	58	1
243	58	1
244	58	1
244	58	1
4	59	1
7	59	1
8	59	1
15	59	1
16	59	1
24	59	1
28	59	1
33	59	1
38	59	1
44	59	1
44	59	1
45	59	1
52	59	1
54	59	1
54	59	1
55	59	1
55	59	1
55	59	1
56	59	1
56	59	1
58	59	1
1	59	1
7	59	1
67	59	1
113	59	1
61	59	1
64	59	1
66	59	1
68	59	1
68	59	1
87	59	1
88	59	1
89	59	1
89	59	1
90	59	1
90	59	1
91	59	1
94	59	1
95	59	1
99	59	1
111	59	1
112	59	1
113	59	1
114	59	1
115	59	1
128	59	1
128	59	1
129	59	1
141	59	1
144	59	1
148	59	1
151	59	1
151	59	1
152	59	1
153	59	1
157	59	1
158	59	1
159	59	1
166	59	1
169	59	1
207	59	1
208	59	1
209	59	1
241	59	1
242	59	1
245	59	1
250	59	1
1	60	1
2	60	1
3	60	1
14	60	1
22	60	1
23	60	1
24	60	1
29	60	1
52	60	1
54	60	1
54	60	1
55	60	1
55	60	1
55	60	1
56	60	1
61	60	1
179	60	1
180	60	1
192	60	1
196	60	1
64	60	1
67	60	1
69	60	1
71	60	1
79	60	1
80	60	1
80	60	1
84	60	1
86	60	1
86	60	1
87	60	1
88	60	1
89	60	1
89	60	1
90	60	1
109	60	1
109	60	1
113	60	1
119	60	1
124	60	1
132	60	1
132	60	1
152	60	1
153	60	1
153	60	1
157	60	1
158	60	1
158	60	1
164	60	1
169	60	1
169	60	1
170	60	1
170	60	1
176	60	1
176	60	1
184	60	1
199	60	1
207	60	1
208	60	1
209	60	1
210	60	1
234	60	1
234	60	1
237	60	1
239	60	1
240	60	1
242	60	1
242	60	1
270	60	1
271	60	1
4	61	1
15	61	1
21	61	1
22	61	1
22	61	1
23	61	1
23	61	1
29	61	1
29	61	1
30	61	1
31	61	1
45	61	1
53	61	1
53	61	1
54	61	1
54	61	1
55	61	1
55	61	1
56	61	1
59	61	1
60	61	1
179	61	1
180	61	1
191	61	1
192	61	1
196	61	1
64	61	1
68	61	1
68	61	1
69	61	1
79	61	1
79	61	1
83	61	1
83	61	1
85	61	1
85	61	1
87	61	1
88	61	1
88	61	1
89	61	1
98	61	1
109	61	1
109	61	1
113	61	1
118	61	1
119	61	1
131	61	1
131	61	1
152	61	1
153	61	1
159	61	1
169	61	1
169	61	1
170	61	1
170	61	1
176	61	1
177	61	1
184	61	1
200	61	1
207	61	1
208	61	1
209	61	1
235	61	1
236	61	1
237	61	1
238	61	1
240	61	1
241	61	1
242	61	1
243	61	1
244	61	1
15	62	1
15	62	1
16	62	1
16	62	1
56	62	1
57	62	1
63	62	1
65	62	1
66	62	1
162	62	1
63	62	1
63	62	1
63	62	1
64	62	1
64	62	1
64	62	1
65	62	1
65	62	1
66	62	1
66	62	1
66	62	1
67	62	1
68	62	1
71	62	1
114	62	1
114	62	1
114	62	1
115	62	1
115	62	1
140	62	1
141	62	1
144	62	1
157	62	1
161	62	1
162	62	1
175	62	1
252	62	1
252	62	1
267	62	1
15	63	1
16	63	1
16	63	1
48	63	1
50	63	1
56	63	1
57	63	1
57	63	1
62	63	1
62	63	1
62	63	1
62	63	1
65	63	1
66	63	1
266	63	1
65	63	1
65	63	1
66	63	1
66	63	1
67	63	1
67	63	1
68	63	1
71	63	1
115	63	1
157	63	1
161	63	1
162	63	1
267	63	1
279	63	1
55	64	1
55	64	1
56	64	1
56	64	1
57	64	1
59	64	1
60	64	1
61	64	1
62	64	1
62	64	1
62	64	1
174	64	1
175	64	1
67	64	1
71	64	1
94	64	1
141	64	1
141	64	1
141	64	1
142	64	1
142	64	1
151	64	1
152	64	1
157	64	1
158	64	1
158	64	1
160	64	1
162	64	1
164	64	1
250	64	1
6	65	1
15	65	1
54	65	1
56	65	1
57	65	1
58	65	1
62	65	1
62	65	1
63	65	1
63	65	1
62	65	1
63	65	1
66	65	1
144	65	1
66	65	1
66	65	1
67	65	1
67	65	1
67	65	1
76	65	1
81	65	1
82	65	1
141	65	1
160	65	1
160	65	1
161	65	1
162	65	1
175	65	1
180	65	1
183	65	1
221	65	1
223	65	1
269	65	1
7	66	1
8	66	1
15	66	1
28	66	1
56	66	1
57	66	1
59	66	1
62	66	1
62	66	1
62	66	1
63	66	1
63	66	1
65	66	1
65	66	1
62	66	1
63	66	1
65	66	1
68	66	1
141	66	1
142	66	1
146	66	1
157	66	1
159	66	1
159	66	1
174	66	1
176	66	1
183	66	1
183	66	1
220	66	1
222	66	1
266	66	1
2	67	1
2	67	1
7	67	1
15	67	1
28	67	1
55	67	1
56	67	1
57	67	1
58	67	1
60	67	1
62	67	1
63	67	1
63	67	1
63	67	1
64	67	1
65	67	1
65	67	1
65	67	1
54	67	1
59	67	1
68	67	1
152	67	1
153	67	1
184	67	1
68	67	1
82	67	1
114	67	1
114	67	1
115	67	1
115	67	1
128	67	1
148	67	1
152	67	1
152	67	1
152	67	1
153	67	1
157	67	1
158	67	1
158	67	1
163	67	1
163	67	1
165	67	1
175	67	1
175	67	1
180	67	1
184	67	1
200	67	1
1	68	1
4	68	1
7	68	1
8	68	1
8	68	1
54	68	1
55	68	1
56	68	1
56	68	1
57	68	1
58	68	1
59	68	1
59	68	1
61	68	1
61	68	1
62	68	1
63	68	1
66	68	1
67	68	1
67	68	1
152	68	1
72	68	1
81	68	1
113	68	1
129	68	1
152	68	1
152	68	1
153	68	1
153	68	1
157	68	1
157	68	1
158	68	1
162	68	1
163	68	1
174	68	1
175	68	1
208	68	1
234	68	1
4	69	1
4	69	1
56	69	1
60	69	1
61	69	1
4	69	1
28	69	1
70	69	1
159	69	1
160	69	1
164	69	1
171	69	1
172	69	1
176	69	1
220	69	1
221	69	1
223	69	1
252	69	1
261	69	1
72	69	1
109	69	1
111	69	1
139	69	1
139	69	1
139	69	1
139	69	1
140	69	1
140	69	1
156	69	1
156	69	1
156	69	1
163	69	1
164	69	1
164	69	1
177	69	1
179	69	1
180	69	1
180	69	1
184	69	1
190	69	1
197	69	1
198	69	1
198	69	1
204	69	1
215	69	1
225	69	1
4	70	1
3	70	1
28	70	1
69	70	1
159	70	1
171	70	1
177	70	1
220	70	1
221	70	1
223	70	1
81	70	1
111	70	1
161	70	1
164	70	1
171	70	1
176	70	1
177	70	1
179	70	1
180	70	1
184	70	1
190	70	1
197	70	1
197	70	1
198	70	1
203	70	1
220	70	1
224	70	1
225	70	1
3	71	1
56	71	1
60	71	1
62	71	1
63	71	1
64	71	1
110	71	1
111	71	1
156	71	1
88	71	1
103	71	1
108	71	1
110	71	1
110	71	1
115	71	1
115	71	1
153	71	1
157	71	1
158	71	1
160	71	1
160	71	1
160	71	1
162	71	1
164	71	1
165	71	1
184	71	1
207	71	1
208	71	1
209	71	1
263	71	1
265	71	1
280	71	1
4	72	1
4	72	1
56	72	1
57	72	1
57	72	1
68	72	1
69	72	1
24	72	1
25	72	1
58	72	1
81	72	1
81	72	1
82	72	1
82	72	1
87	72	1
